"time","wheel.vT","wheel.wR","wheel.den","wheel.contactPoint_a.slip"
8.34,-203.8074965331283,-2.726225441082486e-14,203.8074965331283,1
8.36,-205.76949653312826,-2.324663788029441e-14,205.76949653312826,1
8.38,-207.73149653312836,-1.8954095920503052e-14,207.73149653312836,1
8.4,-209.69349653312833,-1.438462853145155e-14,209.69349653312833,1
8.42,-211.65549653312831,-1.1903226727816434e-14,211.65549653312831,1
8.44,-213.61749653312827,-1.1874423601835289e-14,213.61749653312827,1
8.46,-215.5794965331284,-1.1842408022483675e-14,215.5794965331284,1
8.48,-217.54149653312837,-1.1807179989761588e-14,217.54149653312837,1
8.5,-219.50349653312833,-1.1768739503669031e-14,219.50349653312833,1
8.52,-221.46549653312826,-1.1727086564206006e-14,221.46549653312826,1
8.54,-223.42749653312825,-1.1682221171372509e-14,223.42749653312825,1
8.56,-225.38949653312832,-1.1634143325168535e-14,225.38949653312832,1
8.58,-227.35149653312828,-1.1582853025594097e-14,227.35149653312828,1
8.6,-229.31349653312824,-1.1528350272649185e-14,229.31349653312824,1
8.62,-231.2754965331282,-1.1470635066333805e-14,231.2754965331282,1
8.64,-233.23749653312834,-1.1409707406647946e-14,233.23749653312834,1
8.66,-235.1994965331283,-1.1345567293591624e-14,235.1994965331283,1
8.68,-237.16149653312826,-1.1278214727164829e-14,237.16149653312826,1
8.7,-239.12349653312822,-1.1207649707367564e-14,239.12349653312822,1
8.72,-241.08549653312835,-1.1133872234199822e-14,241.08549653312835,1
8.74,-243.0474965331283,-1.1056882307661615e-14,243.0474965331283,1
